Heure;Débit;Total;Pression;Densité
04:55:23;0;14;60;
04:55:26;0;14;60;
04:55:28;0;14;60;
04:55:30;0;14;60;
04:55:32;0;14;60;
04:55:34;0;14;60;
04:55:36;0;14;60;
04:55:38;0;14;60;
04:55:40;0;14;60;
04:55:42;0;14;60;
04:55:44;0;14;60;
04:55:46;0;14;60;
04:55:48;0;14;60;
04:55:50;0;14;60;
04:55:52;0;14;60;
04:55:54;0;14;60;
04:55:56;0;14;60;
04:55:58;0;14;60;
04:56:00;0;14;60;
04:56:02;0;14;60;
04:56:04;0;14;60;
04:56:06;0;14;60;
04:56:08;0;14;60;
04:56:10;0;14;60;
04:56:12;0;14;60;
04:56:14;0;14;60;
04:56:16;0;14;60;
04:56:18;0;14;60;
04:56:20;0;14;60;
04:56:22;0;14;60;
04:56:24;0;14;60;
04:56:26;0;14;60;
04:56:28;0;14;60;
04:56:30;0;14;60;
04:56:32;0;14;60;
04:56:34;0;14;60;
04:56:36;0;14;60;
04:56:38;0;14;60;
04:56:40;0;14;60;
04:56:42;0;14;60;
04:56:44;0;14;60;
04:56:46;0;14;60;
04:56:49;0;14;60;
04:56:51;0;14;60;
04:56:53;0;14;60;
04:56:55;0;14;60;
04:56:57;0;14;60;
04:56:59;0;14;60;
04:57:01;0;14;60;
04:57:03;0;14;60;
04:57:05;0;14;60;
04:57:07;0;14;60;
04:57:09;0;14;60;
04:57:11;0;14;60;
04:57:13;0;14;60;
04:57:15;0;14;60;
04:57:16;0;14;60;
04:57:18;0;14;60;
04:57:20;0;14;60;
04:57:22;0;14;60;
04:57:24;0;14;60;
04:57:26;0;14;60;
04:57:28;0;14;60;
04:57:30;0;14;60;
04:57:32;0;14;60;
04:57:34;0;14;60;
04:57:36;0;14;60;
04:57:38;0;14;60;
04:57:40;0;14;60;
04:57:42;0;14;60;
04:57:44;0;14;60;
04:57:46;0;14;60;
04:57:48;0;14;60;
04:57:50;0;14;60;
04:57:52;0;14;60;
04:57:54;0;14;60;
04:57:56;0;14;60;
04:57:58;0;14;60;
04:58:00;0;14;60;
04:58:02;0;14;60;
04:58:04;0;14;60;
04:58:06;0;14;61;
04:58:08;0;14;60;
04:58:10;0;14;61;
04:58:12;0;14;61;
04:58:14;0;14;60;
04:58:16;0;14;61;
04:58:18;0;14;61;
04:58:20;0;14;61;
04:58:22;0;14;61;
04:58:24;0;14;61;
04:58:26;0;14;61;
04:58:28;0;14;61;
04:58:30;0;14;61;
04:58:32;0;14;61;
04:58:34;0;14;61;
04:58:36;0;14;61;
04:58:38;0;14;61;
04:58:40;0;14;61;
04:58:42;0;14;61;
04:58:44;0;14;61;
04:58:46;0;14;61;
04:58:48;0;14;61;
04:58:50;0;14;61;
04:58:52;0;14;61;
04:58:55;0;14;61;
04:58:57;0;14;61;
04:58:59;0;14;61;
04:59:01;0;14;61;
04:59:03;0;14;61;
04:59:05;0;14;61;
04:59:07;0;14;61;
04:59:09;0;14;61;
04:59:11;0;14;61;
04:59:13;0;14;61;
04:59:15;0;14;61;
04:59:17;0;14;61;
04:59:19;0;14;61;
04:59:20;0;14;61;
04:59:22;0;14;61;
04:59:24;0;14;61;
04:59:26;0;14;61;
04:59:28;0;14;61;
04:59:30;0;14;61;
04:59:32;0;14;61;
04:59:34;0;14;61;
04:59:36;0;14;61;
04:59:38;0;14;61;
04:59:40;0;14;61;
04:59:42;0;14;61;
04:59:44;0;14;61;
04:59:46;0;14;61;
04:59:48;0;14;61;
04:59:50;0;14;61;
04:59:52;0;14;61;
04:59:54;0;14;61;
04:59:56;0;14;61;
04:59:58;0;14;61;
05:00:00;0;14;61;
05:00:02;0;14;61;
05:00:04;0;14;61;
05:00:06;0;14;61;
05:00:08;0;14;61;
05:00:10;0;14;61;
05:00:12;0;14;61;
05:00:14;0;14;61;
05:00:16;0;14;61;
05:00:18;0;14;61;
05:00:20;0;14;61;
05:00:22;0;14;61;
05:00:24;0;14;61;
05:00:26;0;14;61;
05:00:28;0;14;61;
05:00:30;0;14;61;
05:00:32;0;14;61;
05:00:34;0;14;61;
05:00:36;0;14;61;
05:00:38;0;14;61;
05:00:40;0;14;61;
05:00:42;0;14;61;
05:00:44;0;14;61;
05:00:46;0;14;61;
05:00:48;0;14;61;
05:00:50;0;14;61;
05:00:52;0;14;61;
05:00:54;0;14;61;
05:00:56;0;14;61;
05:00:58;0;14;61;
05:01:01;0;14;61;
05:01:03;0;14;61;
05:01:05;0;14;61;
05:01:07;0;14;61;
05:01:09;0;14;61;
05:01:11;0;14;61;
05:01:13;0;14;61;
05:01:15;0;14;61;
05:01:17;0;14;61;
05:01:19;0;14;61;
05:01:21;0;14;61;
05:01:23;0;14;61;
05:01:24;0;14;61;
05:01:26;0;14;61;
05:01:28;0;14;61;
05:01:30;0;14;61;
05:01:32;0;14;61;
05:01:34;0;14;61;
05:01:36;0;14;61;
05:01:38;0;14;61;
05:01:40;0;14;61;
05:01:42;0;14;61;
05:01:44;0;14;61;
05:01:46;0;14;61;
05:01:48;0;14;61;
05:01:50;0;14;61;
05:01:52;0;14;61;
05:01:54;0;14;61;
05:01:56;0;14;61;
05:01:58;0;14;61;
05:02:00;0;14;61;
05:02:02;0;14;61;
05:02:04;0;14;61;
05:02:06;0;14;61;
05:02:08;0;14;61;
05:02:10;0;14;61;
05:02:12;0;14;61;
05:02:14;0;14;61;
05:02:16;0;14;61;
05:02:18;0;14;61;
05:02:20;0;14;61;
05:02:22;0;14;61;
05:02:24;0;14;61;
05:02:26;0;14;61;
05:02:28;0;14;61;
05:02:30;0;14;61;
05:02:32;0;14;61;
05:02:34;0;14;61;
05:02:36;0;14;61;
05:02:38;0;14;61;
05:02:40;0;14;61;
05:02:42;0;14;61;
05:02:44;0;14;61;
05:02:46;0;14;61;
05:02:48;0;14;61;
05:02:50;0;14;61;
05:02:52;0;14;61;
05:02:54;0;14;61;
05:02:56;0;14;61;
05:02:58;0;14;61;
05:03:00;0;14;61;
05:03:02;0;14;61;
05:03:04;0;14;61;
05:03:07;0;14;61;
05:03:09;0;14;61;
05:03:11;0;14;61;
05:03:13;0;14;61;
05:03:15;0;14;61;
05:03:17;0;14;61;
05:03:19;0;14;61;
05:03:21;0;14;61;
05:03:23;0;14;61;
05:03:25;0;14;61;
05:03:27;0;14;61;
05:03:29;0;14;61;
05:03:31;0;14;61;
05:03:33;0;14;61;
05:03:34;0;14;61;
05:03:36;0;14;61;
05:03:38;0;14;61;
05:03:40;0;14;61;
